aspect_id,performance_id,section,aspect_num,aspect_desc,info_flag,credit_flag,base_value,factor,goe,ref,scores_of_panel
04012d131b,02f4eae2a0,elements,5,StSqB,,,1.5,,-0.05,,1.45
0413abb222,8da29c25af,elements,4,StSqB,,,1.5,,0.0,,1.5
0421e712ff,aff309cd4b,elements,6,1A,,,1.1,,0.0,,1.1
043383c0c6,1364f78a5a,components,,Interpretation of the Music,,,,1.7,,,3.08
044f5270ba,4c23f1e6af,elements,7,1F,,,0.5,,-0.05,,0.45
047e683bb3,4371e4dcd8,components,,Skating Skills,,,,0.5,,,2.0
04938731b7,d89b696204,components,,Performance,,,,1.7,,,3.67
0497b88d26,a81d8a93ef,elements,1,2S<+1T,<,,1.44,,-0.21,,1.23
04bdb34db7,1524ed743d,elements,7,CCoSp2,,,2.5,,-0.08,,2.42
04c6f0bca4,aff309cd4b,elements,,,,,11.3,,,,11.5
04cb4c6438,d89b696204,elements,4,CCoSp2,,,2.5,,0.42,,2.92
04cc19b147,370a5f0ae0,elements,,,,,13.4,,,,11.67
04d7c7ec70,ca06c998d3,elements,3,1A,,,1.1,,-0.26,,0.84
04e0f52bfa,41dbf67cd2,elements,3,1A+1T<<,<<,x,2.2,,-0.37,,1.83
04eb525769,e24d0572a2,elements,5,1F+1Lo,,x,2.0,,0.0,,2.0
04eb7f1010,fa66b04001,elements,2,2T<<,<<,,0.4,,-0.17,,0.23
04ff52650c,ebdfb1fe5d,elements,4,StSqB,,,1.5,,-0.1,,1.4
0507bce861,1f9ecab5b7,elements,,,,,8.81,,,,8.16
0519830b4b,da3c981fc7,components,,Performance,,,,2.5,,,2.17
05305266c7,994de780c3,elements,4,StSqB,,,1.5,,0.15,,1.65
0530aceb84,ebdfb1fe5d,elements,1,1A,,,1.1,,-0.11,,0.99
0531b7e0f0,a1d26bc58e,elements,1,3S,,,4.3,,-0.14,,4.16
053883486b,1f9ecab5b7,components,,Performance,,,,2.5,,,2.92
0549d0c186,723cebacb2,elements,4,1Lo+2Lo<<,<<,,1.0,,-0.25,,0.75
0551a9d80b,3bd8052b3d,components,,Performance,,,,0.5,,,1.67
0555da208f,9b34a3206f,components,,Transitions,,,,0.5,,,2.33
055e141fb0,3be861abff,components,,Performance,,,,0.5,,,2.0
055f9cd7d7,d685504907,elements,,,,,12.0,,,,10.9
056a173448,2e3942e31a,elements,,,,,6.8,,,,6.6
056c15d432,61da9b2558,elements,4,2S,,,1.3,,-0.13,,1.17
05893566ad,bab72c8bad,elements,4,SSp2,,,1.6,,0.11,,1.71
05dc6cac47,0faf8d7c29,elements,1,1A+1Lo,,,1.6,,0.0,,1.6
05e373b1c5,696581df34,elements,3,SSp1,,,1.3,,0.04,,1.34
05ec7863c0,ada16af4a8,elements,6,2T<<,<<,,0.4,,-0.16,,0.24
05ff88229e,b384d5c8ff,elements,4,1A,,,1.1,,-0.37,,0.73
0609568b6f,d94872bf92,elements,4,1T,,x,0.8,,0.01,,0.81
060dc5123d,b1441268bd,elements,3,StSq1,,,1.8,,0.18,,1.98
061b25eb74,e42e850f18,elements,7,2T,,,1.3,,0.0,,1.3
062001c04e,38f2dd0b4e,elements,6,2Lz<,<,,1.68,,-0.34,,1.34
0627282632,152efd405d,elements,7,2Lz!q,!,,2.1,,-0.7,,1.4
06508f6acd,e5b91d59d9,elements,3,FCSSp3,,,2.6,,-0.09,,2.51
0653190418,85908e5dc9,elements,3,StSq1,,,1.8,,0.06,,1.86
0690117dd4,2217671bc8,components,,Skating Skills,,,,2.5,,,2.58
0692a0896a,a0fcaf550f,elements,5,1Lz+1Lo,,,1.1,,0.0,,1.1
069763946d,db2565c1bb,elements,4,1Lz!,!,x,1.2,,-0.16,,1.04
06ab4c2fbe,b65be3f4ff,elements,2,1F+1Lo,,,1.0,,0.0,,1.0
06b0e65961,3cfaaddd7a,elements,7,SSp1,,,1.3,,0.0,,1.3
06d61aef5d,a79b4b906f,elements,4,StSqB,,,1.5,,-0.05,,1.45
06ed83e2cc,c9635f3dba,elements,3,1A,,,1.1,,-0.44,,0.66
07050436bc,fbf6fde443,elements,1,2Lo+2T,,,3.0,,0.0,,3.0
0706fb0b88,cc67ec9f53,elements,,,,,8.33,,,,6.34
071557f8d7,536a6c986d,elements,5,StSq2,,,2.6,,0.09,,2.69
071d14e234,481fede470,elements,5,SSp1,,,1.3,,0.04,,1.34
0730683c61,6d43103d33,elements,1,1A,,,1.1,,-0.22,,0.88
0733260ad6,ab1356cbff,components,,Skating Skills,,,,2.5,,,2.75
07437251ff,1c79760cbd,components,,Performance,,,,2.5,,,2.58
074acea054,b1441268bd,elements,4,2S+1T,,,1.7,,0.0,,1.7
075931a88d,3be861abff,elements,3,1F+1T,,,0.9,,0.0,,0.9
0761cc1f59,1524ed743d,elements,6,StSq1,,,1.8,,0.06,,1.86
07694fdb47,7986f7aba7,elements,1,1T<<,<<,x,0.0,,0.0,,0.0
076fd4ac57,49d721375e,components,,Skating Skills,,,,1.0,,,1.58
0788ba6f41,4f537986c8,elements,2,StSq,,,0.0,,0.0,,0.0
079c6c789e,6bf59c1925,elements,5,USpB,,,1.0,,0.1,,1.1
079f138a3d,95d4f14cd9,elements,3,CSp,,,0.0,,0.0,,0.0
07aed7d097,8a45813cde,elements,,,,,8.88,,,,7.06
07cc30e5e7,cfc4314093,elements,1,2T,,,1.3,,-0.48,,0.82
07d44bc3a1,d6bf443adb,elements,4,1A+1Lo,,,1.6,,0.07,,1.67
07ec3332b1,3aa8d01d9c,elements,,,,,7.6,,,,7.46
087345504d,40d78c32ae,elements,7,SSpB,,,1.1,,0.11,,1.21
0888033586,f4220006e6,elements,1,1Aq,q,,1.1,,-0.22,,0.88
08c7819ec0,0ed96fe179,elements,4,SSp1,,,1.3,,0.04,,1.34
08d13b0ae1,e93cca6a6b,elements,,,,,8.4,,,,8.16
08d45e49dd,f9c11a575b,components,,Skating Skills,,,,2.5,,,2.58
08d8defa10,2f0afded51,components,,Performance,,,,2.5,,,2.75
08f052229d,7fcd568057,elements,2,1A+1T,,,1.5,,0.18,,1.68
0905c60ef6,7af3582931,components,,Interpretation of the Music,,,,1.8,,,3.67
09091e6b5c,40dbb42122,components,,Transitions,,,,1.0,,,2.25
090ea5c9f0,6cb1cff485,elements,7,StSq2,,,2.6,,0.09,,2.69
092378028f,02e73e04ff,elements,7,1F,,x,1.0,,0.0,,1.0
092cd509c4,68f3fb95f9,elements,1,StSq1,,,1.8,,0.3,,2.1
094ea6cf91,d685504907,elements,5,2Lo,,,1.7,,0.0,,1.7
0950961cd4,71027ca9f4,components,,Performance,,,,2.5,,,2.25
098779a3fd,bc646e0acc,components,,Interpretation of the Music,,,,2.0,,,3.5
09a6b616c3,501014a6eb,components,,Skating Skills,,,,1.7,,,3.25
09ce4140ef,152efd405d,elements,2,2Lz!<,<,,1.68,,-0.5,,1.18
09eec9ca1d,aff309cd4b,elements,1,2S+1T,,,1.7,,0.0,,1.7
09f36c76bb,b2bf35d57d,elements,2,SSp1,,,1.3,,0.0,,1.3
09ffb2d3d7,3aa8d01d9c,components,,Performance,,,,1.0,,,2.25
0a0d6e0f25,d572716b32,elements,1,3S,,,4.3,,-2.15,,2.15
0a2bf413fc,e5979d4a9e,elements,6,1A,,,1.1,,-0.15,,0.95
0a6511fa15,3cbd6b4227,components,,Skating Skills,,,,2.5,,,2.75
0a6550d700,a0cfe15517,components,,Skating Skills,,,,1.0,,,2.75
0a66c7dca4,6f0853fe6c,elements,3,CCoSp3,,,3.0,,-1.5,,1.5
0a82a219ee,e09453aa04,elements,3,CCoSp,,,0.0,,0.0,,0.0
0aa9a0767e,6cb1cff485,elements,3,1S,,,0.4,,-0.19,,0.21
0ab42b81e4,523152c765,elements,5,1F+1Lo,,,1.0,,-0.03,,0.97
0acce09255,b0ea6cd006,elements,4,CCoSpBV,,,1.28,,-0.22,,1.06
0af586320d,fd59acf9b8,elements,4,1A+2Lo<,<,,2.46,,-0.45,,2.01
0b041f230b,0c89133d31,elements,2,2S,,,1.3,,-0.17,,1.13
0b10fdb128,40c6d61954,elements,5,1F+1Lo,,,1.0,,0.0,,1.0
0b18c32d3a,33f558ef67,components,,Skating Skills,,,,1.7,,,3.33
0b2c5ca409,84b3411de6,elements,,,,,11.3,,,,10.54
0b41723b56,6f0853fe6c,elements,7,2F+2T,,,3.1,,0.18,,3.28
0b46250c33,742fb1da63,elements,7,USpB,,,1.0,,-0.03,,0.97
0b57a0804e,5fc1013d34,elements,1,1A+1Lo,,,1.6,,0.11,,1.71
0b80b78c0c,7f5c07052f,components,,Performance,,,,1.7,,,2.92
0bae8b14eb,e5979d4a9e,elements,2,CCoSp2,,,2.5,,0.17,,2.67
0bc5ab818b,233ed55b10,elements,3,CCoSp1,,,2.0,,0.13,,2.13
0bd803cf9e,bafe41e33f,elements,1,1A+1Lo,,,1.6,,0.04,,1.64
0be4eafb76,542d4970b9,elements,2,2Sq+2T<,<,,2.34,,-0.65,,1.69
0be83710a6,afa452f5d9,elements,,,,,7.3,,,,6.04
0bf0b14dda,8bdbc1103b,elements,7,CUSp1,,,1.7,,-0.34,,1.36
0bf54a0676,7af3582931,elements,6,StSq2,,,2.6,,0.17,,2.77
0bff0c112a,0839b7c97e,elements,6,2S,,,1.3,,-0.65,,0.65
0c0150deba,b39f0c7a73,components,,Skating Skills,,,,2.5,,,2.92
0c0ea05cdd,740c7588f3,elements,4,1T,,x,0.8,,-0.04,,0.76
0c18152648,dde37a54b4,components,,Transitions,,,,1.0,,,2.42
0c1a9f9d90,1fedb6444f,components,,Performance,,,,1.0,,,2.33
0c23cfe862,d605f101cb,elements,7,2Lo,,,1.7,,0.0,,1.7
0c24d5d1ea,d572716b32,elements,5,StSq2,,,2.6,,0.09,,2.69
0c32eab84c,e09453aa04,components,,Skating Skills,,,,2.5,,,3.08
0c3feda293,351cc99764,elements,3,2S<<,<<,,0.4,,-0.2,,0.2
0c44fdbed9,d685504907,elements,7,SSp2,,,1.6,,0.11,,1.71
0c50e59426,d901216749,elements,4,1Lz+1Lo,,,1.1,,0.0,,1.1
0c61de3ac2,bc2e828ed4,elements,2,2S,,,1.3,,0.0,,1.3
0c65125967,a1d26bc58e,elements,,,,,40.02,,,,32.54
0c6950f0df,1308f16dc4,elements,1,StSqB,,,1.5,,0.0,,1.5
0c69ad310c,81aaacf960,components,,Performance,,,,2.5,,,2.08
0c9b4837d8,9b550e9b27,elements,7,CSSp2,,,2.3,,0.23,,2.53
0ca0ef6c3b,3ca64d170d,elements,3,1T,,x,0.8,,0.01,,0.81
0ca1710b9b,a0fcaf550f,components,,Performance,,,,2.5,,,2.17
0cac247751,ee7af6ee01,elements,2,2F,,,1.8,,0.18,,1.98
0cbacbbb9e,994de780c3,components,,Performance,,,,1.7,,,3.25
0cbc176aa6,625f546e5b,elements,4,StSqB,,,1.5,,-0.05,,1.45
0cbc8bfc84,cfc4314093,elements,4,CCoSp2,,,2.5,,0.25,,2.75
0cc1d28b21,b5cfde33de,components,,Performance,,,,1.7,,,3.08
0cc6dd2c0c,a390cf882d,elements,5,SSp1,,,1.3,,0.09,,1.39
0ce82ea628,ba712159f7,elements,2,CoSp1,,,1.7,,0.17,,1.87
0cf363acc3,3b5ec5ad10,components,,Interpretation,,,,1.0,,,1.92
0d17da920c,0da35986de,components,,Performance,,,,2.0,,,3.25
0d2dad4979,742fb1da63,components,,Performance,,,,1.0,,,2.0
0d368abf5e,6a777fab56,elements,2,CCoSp2,,,2.5,,0.08,,2.58
0d3c167f87,87b14d814d,elements,1,1A+1T,,,1.5,,0.11,,1.61
0d5f723be9,1f5bfc6dcb,elements,6,CSSp1V,,,1.43,,-0.29,,1.14
0d64b4794b,2477bcd35e,components,,Skating Skills,,,,1.0,,,2.92
0d672f5282,8f57160f29,components,,Transitions,,,,1.0,,,2.08
0d796a9603,b25f4e7261,elements,,,,,10.0,,,,10.31
0d7a67421e,d3abe15c4f,elements,6,CSSp2,,,2.3,,0.0,,2.3
0d8b206ec3,b65be3f4ff,components,,Interpretation,,,,1.0,,,2.17
0d8f50b1cc,92ced3aafa,elements,3,CCoSp2,,,2.5,,0.42,,2.92
0db401b036,b2e4ff3ef7,components,,Performance,,,,1.0,,,1.5
0deeaf3b37,a03453249b,components,,Transitions,,,,1.0,,,1.0
0df43cf3e5,f09e7c4409,elements,6,1A+1Lo,,,1.6,,0.0,,1.6
0df98c78cf,7e997e32e0,elements,6,1A+1Lo,,,1.6,,-0.04,,1.56
0e06d3344a,9660a36d6a,elements,5,SSpB,,,1.1,,-0.55,,0.55
0e1ecec740,ec8433214c,elements,7,2Lo<<,<<,,0.5,,-0.18,,0.32
0e23f64595,e9b50dc122,elements,5,1A+1T,,,1.5,,0.0,,1.5
0e262790ae,a703c634fe,elements,7,USp,,,0.0,,0.0,,0.0
0e3fe1a7a7,79160f6de0,elements,7,SSp1,,,1.3,,-0.04,,1.26
0e48de4e06,51ab4bad49,elements,4,CSSp2,,,2.3,,0.31,,2.61
0e4fb0f24c,ec8433214c,elements,3,StSq2,,,2.6,,0.0,,2.6
0e576e6de3,38f2dd0b4e,components,,Transitions,,,,1.8,,,3.42
0e6403c29c,4b70ebcfc8,elements,3,1A+2T,,,2.4,,0.09,,2.49
0e7013afa1,ec8433214c,components,,Performance,,,,1.7,,,3.25
0e84941940,0c564afae2,elements,3,StSqB,,,1.5,,-0.2,,1.3
0eb88ea116,7ae96e113c,elements,3,StSqB,,,1.5,,0.15,,1.65
0ec48d1a89,9ff9645f45,components,,Performance,,,,2.5,,,2.67
0ec8ababab,cee97f145d,components,,Performance,,,,2.0,,,3.25
0edc63e8a8,3c3a5f6477,elements,2,1Lz,,,0.6,,0.08,,0.68
0efaecf0e0,f1b4bbab50,elements,3,StSqB,,,1.5,,-0.05,,1.45
0f10ef257d,d712134c79,elements,3,1F+2T<,<,,1.54,,-0.52,,1.02
0f16bb31a1,9b34a3206f,elements,8,SSp1,,,1.3,,0.09,,1.39
0f3e104529,d89b696204,elements,5,StSqB,,,1.5,,0.15,,1.65
0f4d289f87,aff309cd4b,components,,Performance,,,,2.5,,,2.83
0f51c05fc7,0ed96fe179,components,,Performance,,,,2.5,,,2.17
0f5811ae7f,d65f420a31,elements,6,FCCoSp2,,,2.5,,0.38,,2.88
0f6ac27165,cb767036fb,elements,7,StSqB,,,1.5,,0.0,,1.5
0f6ffe80c9,6f0853fe6c,elements,11,2F,,,1.8,,0.12,,1.92
0f8a9f6c67,8a32141694,elements,4,CCoSp2,,,2.5,,0.33,,2.83
0ff5f9c7df,4a048850bc,elements,5,CSSp1,,,1.9,,0.25,,2.15
10118d4f3d,4c0441afdc,elements,1,USpB,,,1.0,,0.07,,1.07
1019eb5c87,452f219b70,components,,Performance,,,,1.0,,,2.0
10204e4270,5435475620,components,,Skating Skills,,,,2.0,,,3.75
103b7508c8,0d5207c68e,elements,6,SSp2,,,1.6,,0.11,,1.71
104ff1b063,fd2f876210,elements,,,,,2.7,,,,2.38
10549285c1,2674095a84,components,,Skating Skills,,,,1.0,,,1.25
1064d1d576,fbf6fde443,elements,8,CCoSp2,,,2.5,,0.25,,2.75
106c1b1526,fd1baaedea,elements,7,2F+1A+SEQ,,,2.32,,-0.3,,2.02
1072636497,481fede470,elements,3,CCoSp1,,,2.0,,-0.33,,1.67
107a9b4037,68f3fb95f9,elements,8,CSSp1,,,1.9,,0.32,,2.22
1080ccc8ec,5f97c67dff,elements,7,CSSp2,,,2.3,,-0.23,,2.07
1089f16ca4,bafe41e33f,elements,4,StSqB,,,1.5,,-0.05,,1.45
10973a65cb,41dbf67cd2,elements,8,StSqB,,,1.5,,-0.05,,1.45
11045fbc62,33bd50a7c5,elements,5,CSSp2,,,2.3,,0.23,,2.53
1108805d5c,fd2f876210,components,,Performance,,,,1.0,,,1.58
111fe50ef0,bab72c8bad,elements,,,,,9.08,,,,8.77
112a1c97a2,66f3ec43a4,elements,1,1S+1T,,x,1.6,,0.0,,1.6
113a49a7a6,4e3f545e55,elements,5,CCoSp2,,,2.5,,0.0,,2.5
11428a0ff9,b65be3f4ff,elements,1,StSqB,,,1.5,,-0.05,,1.45
114d70c028,33bd50a7c5,elements,2,1A+2T,,,2.4,,0.0,,2.4
1151447875,dc3293e950,elements,9,2Lz,,,2.1,,0.0,,2.1
1164c66d7a,87b14d814d,components,,Skating Skills,,,,2.5,,,3.08
1168b9a668,696581df34,elements,,,,,9.78,,,,8.84
116a4dd2a6,87704e367d,elements,1,2S+2T,,,2.6,,-0.39,,2.21
11837cbb7a,e4710f75b9,components,,Skating Skills,,,,1.7,,,3.08
1189b4e5bf,a5c1f37deb,elements,,,,,9.3,,,,9.65
119b28cf86,5f50da0265,elements,1,1A+1Lo,,,1.6,,0.0,,1.6
11c327b236,cee97f145d,elements,2,1A+2Lo<<,<<,,1.6,,-0.51,,1.09
1235d30383,f9c11a575b,elements,3,StSqB,,,1.5,,-0.3,,1.2
1239b479af,eafa5802d0,elements,2,1Lz,,,0.6,,0.0,,0.6
1262d3c4f7,98ffda9b32,elements,8,CSSp2,,,2.3,,0.08,,2.38
126bce1aee,71a4576c93,components,,Performance,,,,1.7,,,3.08
12892c129d,9071530734,elements,3,2S,,,1.3,,-0.17,,1.13
128c060b42,0da35986de,elements,3,StSq2,,,2.6,,0.26,,2.86
129d19733f,08843fac14,elements,5,StSq1,,,1.8,,0.12,,1.92
12b4a6ee92,61da9b2558,components,,Skating Skills,,,,2.5,,,3.0
12b840fbb8,496298f51c,elements,5,2S,,,1.3,,0.0,,1.3
12c7569772,723cebacb2,elements,5,2S,,,1.3,,0.04,,1.34
12c839ee7b,c50fbeb9db,elements,3,CSSp1,,,1.9,,0.25,,2.15
12ccc99831,fd1baaedea,elements,,,,,29.06,,,,26.58
12fedc4743,33bd50a7c5,elements,1,2S,,,1.3,,0.04,,1.34
1309b79223,430691cdbd,elements,2,2Sq,q,,1.3,,-0.65,,0.65
1322790cf9,556273d14d,elements,11,2F,,x,1.98,,0.06,,2.04
13313fab17,71027ca9f4,elements,2,CSSp2,,,2.3,,0.08,,2.38
133fdaa341,242c72c8ec,components,,Transitions,,,,1.0,,,1.25
135c2f906a,5435475620,elements,3,CSSp1,,,1.9,,0.32,,2.22
13632b3a3f,6cb1cff485,elements,5,CSSp1,,,1.9,,0.19,,2.09
1364480395,02e73e04ff,elements,,,,,10.2,,,,10.19
1377dda33f,d89b696204,elements,7,2T,,,1.3,,-0.04,,1.26
137975f7c3,41733a320f,elements,3,2Lo,,,1.7,,0.06,,1.76
139e612e42,9e9f633dd0,elements,,,,,16.74,,,,15.93
13b6b2b91b,bfe3387c0e,components,,Skating Skills,,,,2.0,,,3.75
13baa46e5d,06a4083116,elements,5,2S<<,<<,,0.4,,-0.2,,0.2
13d6b66f42,994de780c3,elements,7,CSSp1V,,,1.43,,-0.09,,1.34
13df9c1fec,36512b63e8,elements,8,CSSp2,,,2.3,,0.23,,2.53
13eb5928aa,d9df5d42cc,elements,8,1A,,,1.1,,0.04,,1.14
13f1e5b7b7,ca06c998d3,elements,1,2Lo<,<,,1.36,,-0.27,,1.09
13fc4e51ff,09d12c982d,components,,Interpretation of the Music,,,,1.7,,,2.83
1422e3c6e3,af590b5650,elements,7,2S,,,1.3,,-0.13,,1.17
1439bd7832,523152c765,components,,Performance,,,,2.5,,,2.25
1440ae3e10,a5232a6dbe,elements,6,1A,,,1.1,,0.07,,1.17
144c3db0ee,1198fc6e65,elements,7,SSpB,,,1.1,,-0.15,,0.95
145098ca58,79ad0f7099,elements,,,,,12.56,,,,11.22
146321273e,66f3ec43a4,elements,6,1Lo,,x,1.0,,0.0,,1.0
14685fdf48,fd59acf9b8,elements,,,,,14.32,,,,12.63
1469954e55,598892e7ba,elements,1,1A+1Lo,,,1.6,,-0.29,,1.31
147fa6510f,4f537986c8,elements,3,1T,,,0.4,,-0.01,,0.39
1497ae5f92,5f71ecc439,elements,5,1A+1T<<,<<,,1.1,,-0.33,,0.77
14a80af938,0534227b77,components,,Skating Skills,,,,2.5,,,2.58
14b67fe558,bafe41e33f,components,,Skating Skills,,,,2.5,,,1.92
14b7ac1bbc,d480965e05,elements,1,3T<,<,,3.36,,-1.68,,1.68
14c4295f82,370a5f0ae0,elements,4,2S,,,1.3,,-0.43,,0.87
14d076fe7c,8c6a5f6412,elements,8,1A,,,1.1,,0.04,,1.14
14d6e41b3d,393e28dca3,elements,5,1T*,*,,0.0,,0.0,,0.0
14d9b48698,089c83d095,components,,Performance,,,,2.5,,,3.17
14e70e62e6,79ad0f7099,elements,6,2S<<+1Lo,<<,,0.9,,-0.15,,0.75
14e9bccc92,fd1baaedea,components,,Performance,,,,2.0,,,5.25
14f5cfeeb7,fa66b04001,components,,Performance,,,,1.7,,,3.25
153d71ad98,8bdbc1103b,elements,6,1F+1T,,,0.9,,0.0,,0.9
155352f59e,09d12c982d,elements,,,,,11.59,,,,9.75
1568a75642,b0ea6cd006,elements,3,1A,,,1.1,,-0.15,,0.95
1588a6116c,b2e4ff3ef7,components,,Skating Skills,,,,1.0,,,1.25
158ca2264c,9e0c4f3df0,elements,8,2S+2T<<,<<,,1.7,,-0.65,,1.05
15a452d76c,552c6c5564,elements,,,,,11.48,,,,11.77
15b73dd2ca,a69a41a5c0,elements,5,SSp1,,,1.3,,0.0,,1.3
15bb90115b,3be861abff,elements,1,1Lo+1Lo,,,1.0,,-0.02,,0.98
15c680f912,b5cfde33de,elements,4,CCoSp1,,,2.0,,0.07,,2.07
15db1ab63f,fd59acf9b8,elements,3,2F<<,<<,,0.5,,-0.2,,0.3
15e5ad167a,bfe3387c0e,elements,1,2S+1Lo,,,1.8,,-0.43,,1.37
15e888fc27,a07c29680d,elements,1,1A+1T,,,1.5,,-0.04,,1.46
15ea82ee80,0d5207c68e,components,,Skating Skills,,,,2.5,,,2.75
15f1d01da1,2b688c37f9,elements,2,FCSSp2,,,2.3,,-0.31,,1.99
15f8248d98,7ac68ad6f8,elements,,,,,10.44,,,,8.88
1604223fa2,0c564afae2,elements,5,SSp2,,,1.6,,0.0,,1.6
1605094e9e,14ddb46c80,elements,6,1F+1T,,,0.9,,-0.05,,0.85
165541c11f,0826d24021,components,,Interpretation of the Music,,,,2.0,,,3.0
169c7541e2,2e3942e31a,elements,2,1S,,,0.4,,0.0,,0.4
16ad2c5829,e5ee96f372,elements,4,StSq2,,,2.6,,0.09,,2.69
16bbe532f3,f09e7c4409,elements,5,CoSp2,,,2.0,,0.2,,2.2
17015f5f95,3ca64d170d,components,,Performance,,,,1.0,,,1.42
1708a8f002,eafa5802d0,elements,5,1A,,,1.1,,0.04,,1.14
1742a8b0c4,d572716b32,elements,8,2A+SEQ+2S*,*,x,2.9,,-1.32,,1.58
1757b7d916,c4f74b584e,components,,Interpretation,,,,1.0,,,2.25
1780d752eb,b0b5045921,components,,Performance,,,,0.5,,,1.92
17885186ff,7ac68ad6f8,elements,5,1A,,,1.1,,-0.33,,0.77
17b76b347e,7ce5bb188f,components,,Performance,,,,1.0,,,1.92
17bca47c09,994de780c3,elements,1,2F<,<,,1.44,,-0.72,,0.72
17c996e369,a5232a6dbe,elements,2,CCoSp2,,,2.5,,0.58,,3.08
17dfba37d1,d605f101cb,elements,6,CCoSp3,,,3.0,,-0.2,,2.8
17f7465304,7ae96e113c,components,,Interpretation of the Music,,,,1.7,,,3.5
181100aa8f,4e3f545e55,elements,2,2S,,,1.3,,-0.56,,0.74
181c5682ff,e4f470c534,elements,,,,,17.4,,,,16.62
