aspect_id,judge,score
01b39bc86d,J4,3.25
01b39bc86d,J5,3.5
01b4142cbc,J1,1.0
01b4142cbc,J2,0.0
01b4142cbc,J3,0.0
01b4142cbc,J4,0.0
01b4142cbc,J5,0.0
01cd5133eb,J1,2.0
01cd5133eb,J2,2.0
01cd5133eb,J3,1.75
01ee3bbdc2,J1,-1.0
01ee3bbdc2,J2,-1.0
01ee3bbdc2,J3,-1.0
01ee3bbdc2,J4,-1.0
01ee3bbdc2,J5,0.0
0212b7f752,J1,1.5
0212b7f752,J2,1.75
0212b7f752,J3,1.75
0217566091,J1,0.0
0217566091,J2,2.0
0217566091,J3,1.0
0266d62735,J1,1.75
0266d62735,J2,1.75
0266d62735,J3,1.75
02732fb20f,J1,2.75
02732fb20f,J2,3.5
02732fb20f,J3,3.5
02732fb20f,J4,3.5
02732fb20f,J5,3.0
027b9b79b0,J1,1.0
027b9b79b0,J2,0.0
027b9b79b0,J3,1.0
027b9b79b0,J4,-1.0
027b9b79b0,J5,0.0
0290becb64,J1,3.25
0290becb64,J2,3.75
0290becb64,J3,4.0
0290becb64,J4,3.5
0290becb64,J5,3.5
02c0d67c26,J1,-5.0
02c0d67c26,J2,-5.0
02c0d67c26,J3,-5.0
02c0d67c26,J4,-5.0
02c0d67c26,J5,-5.0
02c5ba71f0,J1,1.0
02c5ba71f0,J2,-1.0
02c5ba71f0,J3,0.0
02c5ba71f0,J4,-1.0
02c5ba71f0,J5,0.0
02d7a5b84d,J1,3.75
02d7a5b84d,J2,3.0
02d7a5b84d,J3,3.25
02d7a5b84d,J4,3.0
02d7a5b84d,J5,3.0
02e11f287b,J1,0.0
02e11f287b,J2,0.0
02e11f287b,J3,0.0
0317c09b85,J1,-2.0
0317c09b85,J2,0.0
0317c09b85,J3,-1.0
0349953710,J1,1.0
0349953710,J2,0.0
0349953710,J3,0.0
0349953710,J4,0.0
0349953710,J5,-1.0
034d360145,J1,1.0
034d360145,J2,1.0
034d360145,J3,1.0
034d360145,J4,1.0
034d360145,J5,1.0
034ec57409,J1,-1.0
034ec57409,J2,0.0
034ec57409,J3,-1.0
0355ca7096,J1,2.75
0355ca7096,J2,3.0
0355ca7096,J3,3.25
0355ca7096,J4,2.75
0355ca7096,J5,3.25
0364df6c6c,J1,2.25
0364df6c6c,J2,3.0
0364df6c6c,J3,2.75
0364df6c6c,J4,3.25
0364df6c6c,J5,3.25
0385dd81d2,J1,0.0
0385dd81d2,J2,-1.0
0385dd81d2,J3,-1.0
0385dd81d2,J4,-1.0
0385dd81d2,J5,0.0
0389f5bf28,J1,0.0
0389f5bf28,J2,1.0
0389f5bf28,J3,0.0
0389f5bf28,J4,0.0
0389f5bf28,J5,0.0
039bc46921,J1,1.0
039bc46921,J2,0.0
039bc46921,J3,0.0
039bc46921,J4,1.0
039bc46921,J5,0.0
03f767bcaa,J1,-5.0
03f767bcaa,J2,-5.0
03f767bcaa,J3,-5.0
04012d131b,J1,-1.0
04012d131b,J2,0.0
04012d131b,J3,0.0
0413abb222,J1,0.0
0413abb222,J2,1.0
0413abb222,J3,0.0
0413abb222,J4,0.0
0413abb222,J5,0.0
0421e712ff,J1,1.0
0421e712ff,J2,0.0
0421e712ff,J3,0.0
0421e712ff,J4,0.0
0421e712ff,J5,0.0
043383c0c6,J1,3.0
043383c0c6,J2,3.25
043383c0c6,J3,3.0
044f5270ba,J1,-2.0
044f5270ba,J2,0.0
044f5270ba,J3,-1.0
047e683bb3,J1,1.75
047e683bb3,J2,2.0
047e683bb3,J3,2.25
04938731b7,J1,4.25
04938731b7,J2,3.75
04938731b7,J3,3.75
04938731b7,J4,3.5
04938731b7,J5,3.5
0497b88d26,J1,-2.0
0497b88d26,J2,-2.0
0497b88d26,J3,-2.0
0497b88d26,J4,-2.0
0497b88d26,J5,-2.0
04bdb34db7,J1,1.0
04bdb34db7,J2,0.0
04bdb34db7,J3,-2.0
04cb4c6438,J1,2.0
04cb4c6438,J2,1.0
04cb4c6438,J3,2.0
04cb4c6438,J4,1.0
04cb4c6438,J5,2.0
04d7c7ec70,J1,-1.0
04d7c7ec70,J2,-2.0
04d7c7ec70,J3,-3.0
04d7c7ec70,J4,-2.0
04d7c7ec70,J5,-3.0
04e0f52bfa,J1,-4.0
04e0f52bfa,J2,-3.0
04e0f52bfa,J3,-3.0
04eb525769,J1,-1.0
04eb525769,J2,0.0
04eb525769,J3,0.0
04eb525769,J4,0.0
04eb525769,J5,0.0
04eb7f1010,J1,-4.0
04eb7f1010,J2,-4.0
04eb7f1010,J3,-5.0
04eb7f1010,J4,-3.0
04eb7f1010,J5,-5.0
04ff52650c,J1,0.0
04ff52650c,J2,-3.0
04ff52650c,J3,-1.0
04ff52650c,J4,0.0
04ff52650c,J5,-1.0
0519830b4b,J1,2.0
0519830b4b,J2,2.5
0519830b4b,J3,1.5
0519830b4b,J4,2.25
0519830b4b,J5,2.25
05305266c7,J1,2.0
05305266c7,J2,1.0
05305266c7,J3,1.0
05305266c7,J4,-1.0
05305266c7,J5,1.0
0530aceb84,J1,-1.0
0530aceb84,J2,-3.0
0530aceb84,J3,-1.0
0530aceb84,J4,-1.0
0530aceb84,J5,-1.0
0531b7e0f0,J1,0.0
0531b7e0f0,J2,1.0
0531b7e0f0,J3,-1.0
0531b7e0f0,J4,-1.0
0531b7e0f0,J5,0.0
053883486b,J1,3.0
053883486b,J2,2.25
053883486b,J3,3.0
053883486b,J4,3.0
053883486b,J5,2.75
0549d0c186,J1,-5.0
0549d0c186,J2,-5.0
0549d0c186,J3,-5.0
0549d0c186,J4,-5.0
0549d0c186,J5,-5.0
0551a9d80b,J1,1.75
0551a9d80b,J2,1.75
0551a9d80b,J3,1.5
0555da208f,J1,2.0
0555da208f,J2,2.5
0555da208f,J3,2.5
055e141fb0,J1,1.5
055e141fb0,J2,2.5
055e141fb0,J3,2.0
056c15d432,J1,-1.0
056c15d432,J2,-1.0
056c15d432,J3,-1.0
05893566ad,J1,1.0
05893566ad,J2,1.0
05893566ad,J3,0.0
05893566ad,J4,1.0
05893566ad,J5,0.0
05dc6cac47,J1,0.0
05dc6cac47,J2,1.0
05dc6cac47,J3,0.0
05dc6cac47,J4,0.0
05dc6cac47,J5,0.0
05e373b1c5,J1,1.0
05e373b1c5,J2,0.0
05e373b1c5,J3,0.0
05e373b1c5,J4,-1.0
05e373b1c5,J5,1.0
05ec7863c0,J1,-4.0
05ec7863c0,J2,-4.0
05ec7863c0,J3,-4.0
05ff88229e,J1,-3.0
05ff88229e,J2,-4.0
05ff88229e,J3,-4.0
05ff88229e,J4,-3.0
05ff88229e,J5,-3.0
0609568b6f,J1,0.0
0609568b6f,J2,1.0
0609568b6f,J3,0.0
060dc5123d,J1,1.0
060dc5123d,J2,2.0
060dc5123d,J3,1.0
060dc5123d,J4,1.0
060dc5123d,J5,1.0
061b25eb74,J1,0.0
061b25eb74,J2,0.0
061b25eb74,J3,0.0
061b25eb74,J4,0.0
061b25eb74,J5,-2.0
062001c04e,J1,-2.0
062001c04e,J2,-2.0
062001c04e,J3,-2.0
062001c04e,J4,-2.0
062001c04e,J5,-3.0
0627282632,J1,-1.0
0627282632,J2,-3.0
0627282632,J3,-4.0
0627282632,J4,-3.0
0627282632,J5,-4.0
06508f6acd,J1,-1.0
06508f6acd,J2,0.0
06508f6acd,J3,0.0
06508f6acd,J4,0.0
06508f6acd,J5,-1.0
0653190418,J1,0.0
0653190418,J2,0.0
0653190418,J3,1.0
0690117dd4,J1,2.75
0690117dd4,J2,2.75
0690117dd4,J3,2.5
0690117dd4,J4,2.5
0690117dd4,J5,2.25
0692a0896a,J1,0.0
0692a0896a,J2,0.0
0692a0896a,J3,0.0
0692a0896a,J4,0.0
0692a0896a,J5,0.0
069763946d,J1,-4.0
069763946d,J2,-2.0
069763946d,J3,-2.0
06ab4c2fbe,J1,0.0
06ab4c2fbe,J2,0.0
06ab4c2fbe,J3,0.0
06ab4c2fbe,J4,0.0
06ab4c2fbe,J5,0.0
06b0e65961,J1,0.0
06b0e65961,J2,0.0
06b0e65961,J3,0.0
06b0e65961,J4,1.0
06b0e65961,J5,0.0
06d61aef5d,J1,-1.0
06d61aef5d,J2,0.0
06d61aef5d,J3,0.0
06ed83e2cc,J1,-4.0
06ed83e2cc,J2,-4.0
06ed83e2cc,J3,-4.0
07050436bc,J1,0.0
07050436bc,J2,0.0
07050436bc,J3,0.0
07050436bc,J4,0.0
07050436bc,J5,0.0
071557f8d7,J1,0.0
071557f8d7,J2,0.0
071557f8d7,J3,1.0
071557f8d7,J4,-1.0
071557f8d7,J5,1.0
071d14e234,J1,1.0
071d14e234,J2,0.0
071d14e234,J3,0.0
071d14e234,J4,-1.0
071d14e234,J5,1.0
0730683c61,J1,-2.0
0730683c61,J2,-2.0
0730683c61,J3,-2.0
0733260ad6,J1,2.0
0733260ad6,J2,2.75
0733260ad6,J3,2.5
0733260ad6,J4,3.0
0733260ad6,J5,3.0
07437251ff,J1,2.5
07437251ff,J2,2.25
07437251ff,J3,2.75
07437251ff,J4,3.25
07437251ff,J5,2.5
074acea054,J1,0.0
074acea054,J2,0.0
074acea054,J3,0.0
074acea054,J4,-2.0
074acea054,J5,0.0
075931a88d,J1,0.0
075931a88d,J2,0.0
075931a88d,J3,0.0
0761cc1f59,J1,0.0
0761cc1f59,J2,2.0
0761cc1f59,J3,-1.0
076fd4ac57,J1,1.75
076fd4ac57,J2,1.5
076fd4ac57,J3,1.5
079c6c789e,J1,1.0
079c6c789e,J2,1.0
079c6c789e,J3,1.0
07cc30e5e7,J1,-4.0
07cc30e5e7,J2,-4.0
07cc30e5e7,J3,-3.0
07cc30e5e7,J4,-3.0
07cc30e5e7,J5,-4.0
07d44bc3a1,J1,0.0
07d44bc3a1,J2,1.0
07d44bc3a1,J3,0.0
07d44bc3a1,J4,1.0
07d44bc3a1,J5,1.0
087345504d,J1,1.0
087345504d,J2,2.0
087345504d,J3,0.0
0888033586,J1,-2.0
0888033586,J2,-2.0
0888033586,J3,-2.0
08c7819ec0,J1,1.0
08c7819ec0,J2,0.0
08c7819ec0,J3,0.0
08d45e49dd,J1,2.5
08d45e49dd,J2,2.5
08d45e49dd,J3,3.0
08d45e49dd,J4,2.75
08d45e49dd,J5,2.25
08d8defa10,J1,2.5
08d8defa10,J2,2.75
08d8defa10,J3,3.0
08f052229d,J1,2.0
08f052229d,J2,2.0
08f052229d,J3,1.0
08f052229d,J4,1.0
08f052229d,J5,2.0
0905c60ef6,J1,3.5
0905c60ef6,J2,4.0
0905c60ef6,J3,3.5
0905c60ef6,J4,4.0
0905c60ef6,J5,3.25
09091e6b5c,J1,1.75
09091e6b5c,J2,2.5
09091e6b5c,J3,2.5
090ea5c9f0,J1,0.0
090ea5c9f0,J2,1.0
090ea5c9f0,J3,0.0
092378028f,J1,0.0
092378028f,J2,0.0
092378028f,J3,0.0
092cd509c4,J1,1.0
092cd509c4,J2,2.0
092cd509c4,J3,2.0
092cd509c4,J4,1.0
092cd509c4,J5,2.0
094ea6cf91,J1,0.0
094ea6cf91,J2,0.0
094ea6cf91,J3,1.0
094ea6cf91,J4,0.0
094ea6cf91,J5,0.0
0950961cd4,J1,2.25
0950961cd4,J2,2.25
0950961cd4,J3,3.25
0950961cd4,J4,2.25
0950961cd4,J5,2.25
098779a3fd,J1,3.5
098779a3fd,J2,3.75
098779a3fd,J3,3.5
098779a3fd,J4,3.25
098779a3fd,J5,3.5
09a6b616c3,J1,3.75
09a6b616c3,J2,3.25
09a6b616c3,J3,3.5
09a6b616c3,J4,3.0
09a6b616c3,J5,3.0
09ce4140ef,J1,-3.0
09ce4140ef,J2,-2.0
09ce4140ef,J3,-3.0
09ce4140ef,J4,-3.0
09ce4140ef,J5,-3.0
09eec9ca1d,J1,0.0
09eec9ca1d,J2,0.0
09eec9ca1d,J3,0.0
09eec9ca1d,J4,0.0
09eec9ca1d,J5,0.0
09f36c76bb,J1,0.0
09f36c76bb,J2,0.0
09f36c76bb,J3,0.0
09ffb2d3d7,J1,2.0
09ffb2d3d7,J2,2.25
09ffb2d3d7,J3,2.5
0a0d6e0f25,J1,-5.0
0a0d6e0f25,J2,-5.0
0a0d6e0f25,J3,-5.0
0a2bf413fc,J1,-1.0
0a2bf413fc,J2,-1.0
0a2bf413fc,J3,-2.0
0a6511fa15,J1,2.5
0a6511fa15,J2,3.0
0a6511fa15,J3,2.75
0a6511fa15,J4,2.75
0a6511fa15,J5,2.75
0a6550d700,J1,3.0
0a6550d700,J2,2.75
0a6550d700,J3,3.0
0a6550d700,J4,2.5
0a6550d700,J5,2.5
0a66c7dca4,J1,-5.0
0a66c7dca4,J2,-5.0
0a66c7dca4,J3,-5.0
0a66c7dca4,J4,-5.0
0a66c7dca4,J5,-5.0
0aa9a0767e,J1,-4.0
0aa9a0767e,J2,-5.0
0aa9a0767e,J3,-5.0
0ab42b81e4,J1,-1.0
0ab42b81e4,J2,0.0
0ab42b81e4,J3,-1.0
0acce09255,J1,-2.0
0acce09255,J2,-2.0
0acce09255,J3,-1.0
0af586320d,J1,-4.0
0af586320d,J2,-4.0
0af586320d,J3,-3.0
0af586320d,J4,-3.0
0af586320d,J5,-3.0
0b041f230b,J1,-1.0
0b041f230b,J2,-1.0
0b041f230b,J3,-2.0
0b041f230b,J4,-1.0
0b041f230b,J5,-2.0
0b10fdb128,J1,0.0
0b10fdb128,J2,0.0
0b10fdb128,J3,0.0
0b10fdb128,J4,-1.0
0b10fdb128,J5,0.0
0b18c32d3a,J1,3.75
0b18c32d3a,J2,3.25
0b18c32d3a,J3,3.5
0b18c32d3a,J4,3.25
0b18c32d3a,J5,3.0
0b41723b56,J1,1.0
0b41723b56,J2,1.0
0b41723b56,J3,0.0
0b41723b56,J4,1.0
0b41723b56,J5,1.0
0b46250c33,J1,0.0
0b46250c33,J2,0.0
0b46250c33,J3,-1.0
0b57a0804e,J1,1.0
0b57a0804e,J2,1.0
0b57a0804e,J3,2.0
0b57a0804e,J4,0.0
0b57a0804e,J5,1.0
0b80b78c0c,J1,3.0
0b80b78c0c,J2,3.0
0b80b78c0c,J3,2.75
0bae8b14eb,J1,1.0
0bae8b14eb,J2,1.0
0bae8b14eb,J3,0.0
0bc5ab818b,J1,2.0
0bc5ab818b,J2,1.0
0bc5ab818b,J3,1.0
0bc5ab818b,J4,0.0
0bc5ab818b,J5,0.0
0bd803cf9e,J1,0.0
0bd803cf9e,J2,0.0
0bd803cf9e,J3,1.0
0be4eafb76,J1,-5.0
0be4eafb76,J2,-5.0
0be4eafb76,J3,-5.0
0be4eafb76,J4,-5.0
0be4eafb76,J5,-5.0
0bf0b14dda,J1,-2.0
0bf0b14dda,J2,-2.0
0bf0b14dda,J3,-2.0
0bf0b14dda,J4,-2.0
0bf0b14dda,J5,-2.0
0bf54a0676,J1,-1.0
0bf54a0676,J2,0.0
0bf54a0676,J3,1.0
0bf54a0676,J4,1.0
0bf54a0676,J5,1.0
0bff0c112a,J1,-5.0
0bff0c112a,J2,-5.0
0bff0c112a,J3,-5.0
0c0150deba,J1,3.0
0c0150deba,J2,3.0
0c0150deba,J3,2.75
0c0ea05cdd,J1,-1.0
0c0ea05cdd,J2,-1.0
0c0ea05cdd,J3,-1.0
0c18152648,J1,3.0
0c18152648,J2,2.25
0c18152648,J3,2.5
0c18152648,J4,2.5
0c18152648,J5,2.25
0c1a9f9d90,J1,2.25
0c1a9f9d90,J2,2.5
0c1a9f9d90,J3,2.5
0c1a9f9d90,J4,2.25
0c1a9f9d90,J5,2.25
0c23cfe862,J1,1.0
0c23cfe862,J2,0.0
0c23cfe862,J3,0.0
0c23cfe862,J4,0.0
0c23cfe862,J5,0.0
0c24d5d1ea,J1,0.0
0c24d5d1ea,J2,0.0
0c24d5d1ea,J3,1.0
0c32eab84c,J1,3.0
0c32eab84c,J2,3.0
0c32eab84c,J3,3.0
0c32eab84c,J4,3.5
0c32eab84c,J5,3.25
0c3feda293,J1,-5.0
0c3feda293,J2,-5.0
0c3feda293,J3,-5.0
0c3feda293,J4,-5.0
0c3feda293,J5,-5.0
0c44fdbed9,J1,1.0
0c44fdbed9,J2,1.0
0c44fdbed9,J3,1.0
0c44fdbed9,J4,0.0
0c44fdbed9,J5,0.0
0c50e59426,J1,0.0
0c50e59426,J2,0.0
0c50e59426,J3,0.0
0c61de3ac2,J1,0.0
0c61de3ac2,J2,0.0
0c61de3ac2,J3,0.0
0c6950f0df,J1,0.0
0c6950f0df,J2,-1.0
0c6950f0df,J3,0.0
0c6950f0df,J4,0.0
0c6950f0df,J5,0.0
0c69ad310c,J1,2.0
0c69ad310c,J2,1.75
0c69ad310c,J3,2.5
0c9b4837d8,J1,1.0
0c9b4837d8,J2,1.0
0c9b4837d8,J3,2.0
0c9b4837d8,J4,1.0
0c9b4837d8,J5,0.0
0ca0ef6c3b,J1,0.0
0ca0ef6c3b,J2,0.0
0ca0ef6c3b,J3,1.0
0ca1710b9b,J1,2.0
0ca1710b9b,J2,2.0
0ca1710b9b,J3,2.5
0ca1710b9b,J4,2.25
0ca1710b9b,J5,2.25
0cac247751,J1,2.0
0cac247751,J2,1.0
0cac247751,J3,1.0
0cac247751,J4,0.0
0cac247751,J5,1.0
0cbacbbb9e,J1,3.5
0cbacbbb9e,J2,3.25
0cbacbbb9e,J3,4.0
0cbacbbb9e,J4,3.0
0cbacbbb9e,J5,3.0
0cbc176aa6,J1,-2.0
0cbc176aa6,J2,1.0
0cbc176aa6,J3,0.0
0cbc176aa6,J4,-1.0
0cbc176aa6,J5,0.0
0cbc8bfc84,J1,0.0
0cbc8bfc84,J2,1.0
0cbc8bfc84,J3,1.0
0cbc8bfc84,J4,1.0
0cbc8bfc84,J5,1.0
0cc1d28b21,J1,2.75
0cc1d28b21,J2,3.0
0cc1d28b21,J3,3.0
0cc1d28b21,J4,3.25
0cc1d28b21,J5,4.0
0cc6dd2c0c,J1,0.0
0cc6dd2c0c,J2,1.0
0cc6dd2c0c,J3,1.0
0ce82ea628,J1,1.0
0ce82ea628,J2,1.0
0ce82ea628,J3,1.0
0cf363acc3,J1,1.75
0cf363acc3,J2,2.0
0cf363acc3,J3,2.0
0d17da920c,J1,3.0
0d17da920c,J2,3.25
0d17da920c,J3,3.5
0d17da920c,J4,3.5
0d17da920c,J5,3.0
0d2dad4979,J1,1.75
0d2dad4979,J2,2.0
0d2dad4979,J3,2.25
0d368abf5e,J1,1.0
0d368abf5e,J2,1.0
0d368abf5e,J3,0.0
0d368abf5e,J4,0.0
0d368abf5e,J5,0.0
0d3c167f87,J1,1.0
0d3c167f87,J2,1.0
0d3c167f87,J3,0.0
0d3c167f87,J4,1.0
0d3c167f87,J5,1.0
0d5f723be9,J1,-1.0
0d5f723be9,J2,-2.0
0d5f723be9,J3,-1.0
0d5f723be9,J4,-3.0
0d5f723be9,J5,-3.0
0d64b4794b,J1,2.75
0d64b4794b,J2,3.0
0d64b4794b,J3,3.0
0d672f5282,J1,2.25
0d672f5282,J2,2.0
0d672f5282,J3,2.0
0d7a67421e,J1,0.0
0d7a67421e,J2,0.0
0d7a67421e,J3,1.0
0d7a67421e,J4,0.0
0d7a67421e,J5,0.0
0d8b206ec3,J1,2.25
0d8b206ec3,J2,2.5
0d8b206ec3,J3,2.0
0d8b206ec3,J4,2.0
0d8b206ec3,J5,2.25
0d8f50b1cc,J1,2.0
0d8f50b1cc,J2,2.0
0d8f50b1cc,J3,2.0
0d8f50b1cc,J4,1.0
0d8f50b1cc,J5,1.0
0db401b036,J1,1.0
0db401b036,J2,2.0
0db401b036,J3,1.5
0deeaf3b37,J1,0.75
0deeaf3b37,J2,1.0
0deeaf3b37,J3,1.25
0df43cf3e5,J1,0.0
0df43cf3e5,J2,0.0
0df43cf3e5,J3,0.0
0df43cf3e5,J4,0.0
0df43cf3e5,J5,0.0
0df98c78cf,J1,0.0
0df98c78cf,J2,0.0
0df98c78cf,J3,-1.0
0e06d3344a,J1,-5.0
0e06d3344a,J2,-5.0
0e06d3344a,J3,-5.0
0e1ecec740,J1,-4.0
0e1ecec740,J2,-4.0
0e1ecec740,J3,-3.0
0e23f64595,J1,0.0
0e23f64595,J2,0.0
0e23f64595,J3,0.0
0e3fe1a7a7,J1,0.0
0e3fe1a7a7,J2,0.0
0e3fe1a7a7,J3,-1.0
0e48de4e06,J1,1.0
0e48de4e06,J2,1.0
0e48de4e06,J3,2.0
0e48de4e06,J4,2.0
0e48de4e06,J5,1.0
0e4fb0f24c,J1,0.0
0e4fb0f24c,J2,0.0
0e4fb0f24c,J3,0.0
0e576e6de3,J1,3.75
0e576e6de3,J2,3.75
0e576e6de3,J3,3.0
0e576e6de3,J4,3.25
0e576e6de3,J5,3.25
0e6403c29c,J1,1.0
0e6403c29c,J2,1.0
0e6403c29c,J3,1.0
0e6403c29c,J4,0.0
0e6403c29c,J5,0.0
0e7013afa1,J1,3.25
0e7013afa1,J2,3.25
0e7013afa1,J3,3.25
0e84941940,J1,-2.0
0e84941940,J2,-3.0
0e84941940,J3,-1.0
0e84941940,J4,-1.0
0e84941940,J5,0.0
0eb88ea116,J1,1.0
0eb88ea116,J2,1.0
0eb88ea116,J3,1.0
0eb88ea116,J4,2.0
0eb88ea116,J5,0.0
0ec48d1a89,J1,2.75
0ec48d1a89,J2,2.5
0ec48d1a89,J3,2.5
0ec48d1a89,J4,3.5
0ec48d1a89,J5,2.75
0ec8ababab,J1,2.75
0ec8ababab,J2,3.25
0ec8ababab,J3,3.75
0ec8ababab,J4,3.5
0ec8ababab,J5,3.0
0edc63e8a8,J1,1.0
0edc63e8a8,J2,2.0
0edc63e8a8,J3,2.0
0edc63e8a8,J4,1.0
0edc63e8a8,J5,1.0
0efaecf0e0,J1,0.0
0efaecf0e0,J2,0.0
0efaecf0e0,J3,-1.0
0f10ef257d,J1,-5.0
0f10ef257d,J2,-5.0
0f10ef257d,J3,-5.0
0f10ef257d,J4,-5.0
0f10ef257d,J5,-5.0
0f16bb31a1,J1,0.0
0f16bb31a1,J2,0.0
0f16bb31a1,J3,2.0
0f3e104529,J1,2.0
0f3e104529,J2,1.0
0f3e104529,J3,1.0
0f3e104529,J4,0.0
0f3e104529,J5,1.0
0f4d289f87,J1,2.75
0f4d289f87,J2,3.25
0f4d289f87,J3,2.75
0f4d289f87,J4,3.0
0f4d289f87,J5,2.5
0f51c05fc7,J1,2.0
0f51c05fc7,J2,2.25
0f51c05fc7,J3,2.25
0f5811ae7f,J1,2.0
0f5811ae7f,J2,1.0
0f5811ae7f,J4,2.0
0f6ac27165,J1,0.0
0f6ac27165,J2,0.0
0f6ac27165,J3,0.0
0f6ac27165,J4,0.0
0f6ac27165,J5,0.0
0f6ffe80c9,J1,0.0
0f6ffe80c9,J2,1.0
0f6ffe80c9,J3,0.0
0f6ffe80c9,J4,2.0
0f6ffe80c9,J5,1.0
0f8a9f6c67,J1,1.0
0f8a9f6c67,J2,2.0
0f8a9f6c67,J3,2.0
0f8a9f6c67,J4,1.0
0f8a9f6c67,J5,1.0
0ff5f9c7df,J1,1.0
0ff5f9c7df,J2,1.0
0ff5f9c7df,J3,2.0
0ff5f9c7df,J4,2.0
0ff5f9c7df,J5,1.0
10118d4f3d,J1,1.0
10118d4f3d,J2,0.0
10118d4f3d,J3,1.0
1019eb5c87,J1,2.0
1019eb5c87,J2,2.0
1019eb5c87,J3,2.0
10204e4270,J1,3.75
10204e4270,J2,4.25
10204e4270,J3,4.0
10204e4270,J4,3.5
10204e4270,J5,3.25
103b7508c8,J1,0.0
103b7508c8,J2,0.0
103b7508c8,J3,2.0
10549285c1,J1,1.5
10549285c1,J2,1.25
10549285c1,J3,1.0
1064d1d576,J1,1.0
1064d1d576,J2,1.0
1064d1d576,J3,1.0
1064d1d576,J4,0.0
1064d1d576,J5,1.0
106c1b1526,J1,0.0
106c1b1526,J2,-2.0
106c1b1526,J3,-2.0
106c1b1526,J4,-2.0
106c1b1526,J5,-1.0
1072636497,J1,-1.0
1072636497,J2,-1.0
1072636497,J3,-2.0
1072636497,J4,-2.0
1072636497,J5,-2.0
107a9b4037,J1,1.0
107a9b4037,J2,2.0
107a9b4037,J3,3.0
107a9b4037,J4,2.0
107a9b4037,J5,1.0
1080ccc8ec,J1,-2.0
1080ccc8ec,J2,-1.0
1080ccc8ec,J3,0.0
1089f16ca4,J1,0.0
1089f16ca4,J2,0.0
1089f16ca4,J3,-1.0
10973a65cb,J1,-1.0
10973a65cb,J2,0.0
10973a65cb,J3,0.0
11045fbc62,J1,1.0
11045fbc62,J2,1.0
11045fbc62,J3,1.0
11045fbc62,J4,1.0
11045fbc62,J5,2.0
1108805d5c,J1,1.25
1108805d5c,J2,1.75
1108805d5c,J3,1.75
112a1c97a2,J1,0.0
112a1c97a2,J2,0.0
112a1c97a2,J3,0.0
112a1c97a2,J4,0.0
112a1c97a2,J5,0.0
113a49a7a6,J1,-1.0
113a49a7a6,J2,0.0
113a49a7a6,J3,0.0
113a49a7a6,J4,0.0
113a49a7a6,J5,0.0
11428a0ff9,J1,-1.0
11428a0ff9,J2,0.0
11428a0ff9,J3,0.0
11428a0ff9,J4,-1.0
11428a0ff9,J5,0.0
114d70c028,J1,0.0
114d70c028,J2,0.0
114d70c028,J3,0.0
114d70c028,J4,0.0
