Surname;First Name;Full name;Club;Nationality;Category;Genre
LAENG;Julie;Julie LAENG;Strasbourg Alsace Csg;FRA;N2 Minime - Dame;F
LAGUERRE;Lily-Rose;Lily-Rose LAGUERRE;Annecy Sports Glace;FRA;N1 Minime - Dame;F
LAMARRE;Alix;Alix LAMARRE;Belfort Asm;FRA;N2 Minime - Dame;F
LAMBOLEY;Aislinn;Aislinn LAMBOLEY;Besancon Ass Patinage Artistique;FRA;N2 Novice - Dame;F
LANGLADE;Clara;Clara LANGLADE;Patinage Artistique Briviste;FRA;N2 Junior - Dame;F
LAUBENHEIMER;Capucine;Capucine LAUBENHEIMER;Nantes Sports Glace;FRA;N2 Novice - Dame;F
LE MAY;Vassili;Vassili LE MAY;Nantes Sports Glace;FRA;N2 Junior - Homme;F
LECESNE;Jade;Jade LECESNE;Annecy Sports Glace;FRA;N2 Novice - Dame;F
LEMOINE;Noemie;Noemie LEMOINE;Asso Patinage Artistique Montdorien;FRA;Programme type Intermediate - Dame;F
LEMOINE;Nell;Nell LEMOINE;Skate Hainaut Valenciennes Club;FRA;N2 Novice - Dame;F
LESEIGNEUR;Elodie;Elodie LESEIGNEUR;Mulhouse Asg;FRA;N1 Novice - Dame;F
LIGET-LATUS;Clelia;Clelia LIGET-LATUS;Sport De Glace De Metz;FRA;N1 Benjamin - Dame;F
LINCOLN;Jedidiah;Jedidiah LINCOLN;;GBR;N1 Novice - Homme;F
LOPEZ;Alicia;Alicia LOPEZ;Alpe D'huez Patinage Club;FRA;N2 Sénior - Dame;F
LUNATTI;Ilona;Ilona LUNATTI;Association Nice Baies Des Anges;FRA;N1 Junior - Dame;F
LUSCALOV;Teodora;Teodora LUSCALOV;Lyon Glace Patinage;FRA;N2 Junior - Dame;F
MACRE;Ilana;Ilana MACRE;Asnieres Patinage;FRA;N2 Minime - Dame;F
MARECHAL;Elea;Elea MARECHAL;Association Nice Baies Des Anges;FRA;N1 Novice - Dame;F
MASSON;Lou-Anne;Lou-Anne MASSON;Roannais Patinage Artistique;FRA;N2 Novice - Dame;F
MATHEVET;Clothilde;Clothilde MATHEVET;Chambery Csg;FRA;N2 Minime - Dame;F
MENUT;Lalie;Lalie MENUT;Amnevillois Club Des Sports De Glace;FRA;N2 Benjamin - Dame;F
MESNIL;Corentine;Corentine MESNIL;Chamonix Club Des Sports;FRA;Programme type Intermediate - Dame;F
MOTILLA;Gianni;Gianni MOTILLA;Club De Patinage Artistique De Reims;FRA;N2 Minime - Homme;F
NUCCI;Mathilde;Mathilde NUCCI;Lyon Glace Patinage;FRA;N2 Novice - Dame;F
OBANDO;Emilie;Emilie OBANDO;Asnieres Patinage;FRA;N1 Minime - Dame;F
OZDAMAR;Aylin;Aylin OZDAMAR;Belfort Asm;FRA;N2 Novice - Dame;F
PHOLSENA;Angelina;Angelina PHOLSENA;Valence Patinage Artistique;FRA;N2 Novice - Dame;F
PINNA;Noa;Noa PINNA;Niortglace;FRA;N2 Novice - Dame;F
RIBEAUCOURT CLOART;Juliette;Juliette RIBEAUCOURT CLOART;Skate Hainaut Valenciennes Club;FRA;N2 Novice - Dame;F
RICHOMME;Lea;Lea RICHOMME;Lyon Glace Patinage;FRA;N2 Junior - Dame;F
RIMET;Zoe;Zoe RIMET;Grenoble Isere Metropole Patinage;FRA;N1 Junior - Dame;F
ROBIN;Louna;Louna ROBIN;Grenoble Isere Metropole Patinage;FRA;N2 Minime - Dame;F
ROMAND;Margot;Margot ROMAND;Annecy Sports Glace;FRA;N2 Novice - Dame;F
ROQUE;Romane;Romane ROQUE;Lyon Glace Patinage;FRA;N2 Novice - Dame;F
SAHRAOUI;Meyssoun;Meyssoun SAHRAOUI;Belfort Asm;FRA;N1 Benjamin - Dame;F
SAMICA;Salome;Salome SAMICA;Valence Patinage Artistique;FRA;N2 Novice - Dame;F
SATFAOUI;Isma;Isma SATFAOUI;Lyon Glace Patinage;FRA;N2 Junior - Dame;F
SAUVAGE;Chloe;Chloe SAUVAGE;Amodio Figure Skating Academy Vaujany;FRA;N2 Minime - Dame;F
SIBELLE;Eulalie;Eulalie SIBELLE;Lyon Glace Patinage;FRA;N2 Junior - Dame;F
SZENTIVANYI;Julia;Julia SZENTIVANYI;;HUN;N1 Minime - Dame;F
TAHAR;Ilyana;Ilyana TAHAR;Amnevillois Club Des Sports De Glace;FRA;N2 Novice - Dame;F
TOURE;Naomie;Naomie TOURE;Grenoble Isere Metropole Patinage;FRA;N1 Benjamin - Dame;F
ULLATE;Covadonga;Covadonga ULLATE;Chamonix Club Des Sports;FRA;Programme type Intermediate - Dame;F
VERBAT;Daniel;Daniel VERBAT;Annecy Sports Glace;FRA;N1 Novice - Homme;F
VERNIN;Youna;Youna VERNIN;Roannais Patinage Artistique;FRA;Programme type Intermediate - Dame;F
YANG;Maëlys;Maëlys YANG;Valence Patinage Artistique;FRA;N2 Minime - Dame;F
